,sta,btd,lat_ctd,lon_ctd,dt,ts
0,NK19,238,36.31662,15.3666,2007-07-18 21:49:34,1184795374.0
1,NK20,194,36.38348,15.41668,2007-07-18 23:08:33,1184800113.0
2,NK9,328,36.43357,15.46557,2007-07-19 00:15:28,1184804128.0
3,NK8,1205,36.433704938300345,15.51614493830035,2007-07-19 01:33:26,1184808806.0
4,NK8b,1212,36.4336,15.51658,2007-07-19 02:45:58,1184813158.0
5,NK6,3342,36.401650000000004,15.657440000000001,2007-07-19 07:21:04,1184829664.0
6,NK5,3466,36.37493,15.833085324020178,2007-07-19 10:50:23,1184842223.0
7,NK4,3410,36.333420000000004,16.00032,2007-07-19 14:57:31,1184857051.0
8,KM4,3418,36.26658,16.09992,2007-07-19 22:13:31,1184883211.0
9,NK2,3265,36.36658,16.299889999999998,2007-07-20 08:18:06,1184919486.0
10,NK1,3216,36.41662,16.54988,2007-07-20 13:51:46,1184939506.0
11,11,3520,36.115899999999996,16.94418,2007-07-20 19:03:51,1184958231.0
12,3,4081,35.85763,17.80325,2007-07-21 02:31:35,1184985095.0
13,12,3535,36.11593,19.09621,2007-07-21 12:29:39,1185020979.0
14,13,3174,36.323319999999995,20.06232,2007-07-21 20:27:45,1185049665.0
15,GR2,4513,36.54488,21.48323,2007-07-22 11:15:49,1185102949.0
16,GR1,5017,36.54503,21.13321,2007-07-23 01:52:39,1185155559.0
17,NK17,4038,36.594930000000005,18.43687,2007-07-24 02:54:59,1185245699.0
18,NK10,3291,36.50009,16.31675,2007-07-24 16:29:54,1185294594.0
19,NK11,3308,36.55001,16.14997,2007-07-24 19:58:09,1185307089.0
20,NK12,3222,36.60025,16.00034,2007-07-24 23:09:03,1185318543.0
21,NK13,3274,36.66662,15.832920000000001,2007-07-25 03:02:22,1185332542.0
22,NK14,2912,36.717029999999994,15.64255,2007-07-25 06:16:56,1185344216.0
23,NK15,2920,36.74989,15.53341,2007-07-25 08:50:15,1185353415.0
24,NK18,2318,36.81917,15.36667,2007-07-25 14:26:17,1185373577.0
25,KM3,3384,36.50005,15.83353,2007-07-26 00:04:29,1185408269.0
26,NK21,3317,36.77166,16.01183,2007-07-26 12:56:32,1185454592.0
27,NK22,3042,36.98339,15.94631,2007-07-26 17:05:54,1185469554.0
28,NK23,2957,37.144850000000005,15.92024,2007-07-26 20:00:08,1185480008.0
29,NK24,2476,37.30394,15.87026,2007-07-26 23:43:42,1185493422.0
30,NK25,2231,37.4851,15.87667,2007-07-27 16:48:05,1185554885.0
31,NK26,1900,37.638400000000004,15.85287,2007-07-27 19:15:51,1185563751.0
32,NK27,1483,37.81231,15.837900000000001,2007-07-27 21:46:41,1185572801.0
33,NK28,525,37.886399999999995,15.83121,2007-07-27 23:12:53,1185577973.0
34,NK30,1381,37.81921,16.2461,2007-07-28 03:22:48,1185592968.0
35,NK31,2067,37.70507,16.34373,2007-07-28 05:37:26,1185601046.0
36,NK32,2349,37.56085,16.4861,2007-07-28 09:15:41,1185614141.0
37,NK34,3428,37.14978,16.87865,2007-07-28 17:09:46,1185642586.0
